title,ratings,imdb_rating,imdb_votes,value,metascore,language,short_plot,poster,awards
Blood Will Tell,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",6.1,905,,,Spanish,A thriller by film director-writer Miguel Cohan. A deadly duel within a family where there can be no winners.,https://m.media-amazon.com/images/M/MV5BNTVjMGVkMjMtZmU2ZS00M2M5LWFhZmItYmZjMGEwOWNkYjI4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,
Bolívar,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",7.3,945,,,Spanish,"Depicts the life and loves of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.",https://m.media-amazon.com/images/M/MV5BM2U1YjQ1YTQtZGNmOS00ZmI5LWEyYWMtYjJiYThiNzhmZTM4XkEyXkFqcGc@._V1_SX300.jpg,
EVANGELION: DEATH (TRUE)²,[],,588,,,"Japanese, Spanish, English, Catalan",A recap of the first 24 episodes of Neon Genesis Evangelion.,https://m.media-amazon.com/images/M/MV5BMzlmZDE0NmYtOTVjNS00YTQ3LTg3ODUtZjQzNzZlY2FmYzUxXkEyXkFqcGc@._V1_SX300.jpg,
Girls Incarcerated,[],,,,,"Japanese, Spanish, English, Catalan",A recap of the first 24 episodes of Neon Genesis Evangelion.,https://m.media-amazon.com/images/M/MV5BMzlmZDE0NmYtOTVjNS00YTQ3LTg3ODUtZjQzNzZlY2FmYzUxXkEyXkFqcGc@._V1_SX300.jpg,
Go! Live Your Way,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,974,,,Spanish,"Fiercely talented Mia receives a scholarship to a prestigious dance academy, where she soon clashes with the owner's fashionable and popular daughter.",https://m.media-amazon.com/images/M/MV5BMTk2MDkxNjg5NV5BMl5BanBnXkFtZTgwNjIzMDcyNzM@._V1_SX300.jpg,
Magi: The Labyrinth of Magic,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,,,,Spanish,"Fiercely talented Mia receives a scholarship to a prestigious dance academy, where she soon clashes with the owner's fashionable and popular daughter.",https://m.media-amazon.com/images/M/MV5BMTk2MDkxNjg5NV5BMl5BanBnXkFtZTgwNjIzMDcyNzM@._V1_SX300.jpg,
Neon Genesis Evangelion,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",8.5,"100,307",,,"Japanese, English",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,https://m.media-amazon.com/images/M/MV5BZjZjZGI3ZDQtODNmZC00NjE0LTlmYTUtOTljMWI2YjNmMTQ0XkEyXkFqcGc@._V1_SX300.jpg,
Shooter,[],,,,,English,"'A widowed father needs to pay a dept, his two young boys depend on him. The eldest begins to understand and the father is running out of choices...'",https://m.media-amazon.com/images/M/MV5BZWVlMzhjMmMtOTQ5OC00ZDI2LWE4NTItYThkNzhkMmQ0MGNiXkEyXkFqcGdeQXVyMzI4MjE2MzI@._V1_SX300.jpg,
The Casketeers,[],,,,,English,"'A widowed father needs to pay a dept, his two young boys depend on him. The eldest begins to understand and the father is running out of choices...'",https://m.media-amazon.com/images/M/MV5BZWVlMzhjMmMtOTQ5OC00ZDI2LWE4NTItYThkNzhkMmQ0MGNiXkEyXkFqcGdeQXVyMzI4MjE2MzI@._V1_SX300.jpg,
The Confession Tapes,[],,,,,English,"'A widowed father needs to pay a dept, his two young boys depend on him. The eldest begins to understand and the father is running out of choices...'",https://m.media-amazon.com/images/M/MV5BZWVlMzhjMmMtOTQ5OC00ZDI2LWE4NTItYThkNzhkMmQ0MGNiXkEyXkFqcGdeQXVyMzI4MjE2MzI@._V1_SX300.jpg,
The End of Evangelion,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",8.1,"72,214",,,Japanese,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,https://m.media-amazon.com/images/M/MV5BMGI2Y2RiYTctYWIwZi00NjA2LWFmYzYtZDhkNTk1ZGNmNDVmXkEyXkFqcGc@._V1_SX300.jpg,
Rakkhosh,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",4.8,197,,,Hindi,The movie explores the horrors and fantasies of a patient trapped in a mental asylum.,https://m.media-amazon.com/images/M/MV5BYzdlNzc5NjgtMTNjNy00OTA4LWExMWEtZThhZjJiMDg1YTk4XkEyXkFqcGdeQXVyODExNzAxOTc@._V1_SX300.jpg,
The Wolf's Call,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,"22,974",,,French,"In the near future, a French submarine finds itself in a crisis situation.",https://m.media-amazon.com/images/M/MV5BNDQyN2Y5NzAtNmYxOS00NTY5LTg2YjUtOWZlMTM5YjYyZGYxXkEyXkFqcGc@._V1_SX300.jpg,
Beats,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",6.4,"6,072",,,English,"A reclusive teenage musical prodigy forms an unlikely friendship with a down-on-his-luck high school security guard. United by their mutual love of hiphop, they confront the demons of their past and try to break into Chicago's mus...",https://m.media-amazon.com/images/M/MV5BMDZlYjg2MDQtNmQzYi00ZDFmLWJjY2MtNDA1MmZkZWEyMGI4XkEyXkFqcGc@._V1_SX300.jpg,
The Edge of Democracy,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",7.3,"16,271",,81.0,"Portuguese, English",An exploration into the complex truth behind the unraveling of two Brazilian presidencies.,https://m.media-amazon.com/images/M/MV5BMzA1NWFiZGUtZjQ4Ni00NmE1LThjMzAtMjA0YzE1MzM2ODlmXkEyXkFqcGc@._V1_SX300.jpg,
Adam Devine: Best Time of Our Lives,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",5.9,"1,071",,,English,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",https://m.media-amazon.com/images/M/MV5BMjBiZDM2NDgtOWZkMS00MjZhLWEyYjctNTM4MDEzZDhlNzM5XkEyXkFqcGc@._V1_SX300.jpg,
Cop Car,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",6.3,"36,113",,66.0,English,A small-town sheriff sets out to find the two kids who have taken his car on a joy ride.,https://m.media-amazon.com/images/M/MV5BOTMyMDc5OTUwMl5BMl5BanBnXkFtZTgwMjEwNjc3NTE@._V1_SX300.jpg,
Right Here Right Now,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",5.4,361,,,German,"On New Year's Eve in Hamburg, a young club owner is struggling to keep the party going when a violent ex-pimp, the police, a former rock star, and the love of his life all come for him.",https://m.media-amazon.com/images/M/MV5BNTA1MzRjMmUtOGM5Ni00MGU5LWEzMTYtMGNkM2E2YjkwMWQ4XkEyXkFqcGc@._V1_SX300.jpg,
Fate/Zero,[],,47,,,Japanese,,https://m.media-amazon.com/images/M/MV5BYzg0M2FiMTYtZDcxYi00NzBkLWIyYTktZTY2ODM1ODM4NjJiXkEyXkFqcGc@._V1_SX300.jpg,
Kill la Kill,[],,,,,Japanese,,https://m.media-amazon.com/images/M/MV5BYzg0M2FiMTYtZDcxYi00NzBkLWIyYTktZTY2ODM1ODM4NjJiXkEyXkFqcGc@._V1_SX300.jpg,
Life Overtakes Me,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",6.5,"2,184",,,"Swedish, Ukrainian, English","In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome.",https://m.media-amazon.com/images/M/MV5BNzY3YTQwZjItNTcwYi00ZmQyLTkwYWUtZTY5ZjdlMTNkOTA5XkEyXkFqcGc@._V1_SX300.jpg,
Luckee,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",4.4,51,,,Marathi,"An emotional journey of an innocent guy, Luckee who manages to win the heart of his biggest crush.",https://m.media-amazon.com/images/M/MV5BMjM4YzQyMmMtMDRlOC00ZmJmLWEwM2EtNzFjOTRkOWMxMmY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,
Pihu,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",7.7,126,,,Hindi,,https://m.media-amazon.com/images/M/MV5BYjY3YzQ4MmUtMzEyMi00YWU5LWFiOGQtMmE4OGVmZmUyZmNhXkEyXkFqcGc@._V1_SX300.jpg,
Puella Magi Madoka Magica,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",8.2,"12,014",,,Japanese,"A creature named Kyubey offers Madoka and Sayaka a wish if they agree to become 'magical girls' and fight abstract beings called 'witches'. However, a magical girl named Homura is, for uncertain reasons, determined to stop this ag...",https://m.media-amazon.com/images/M/MV5BMGI2NDRmZTgtYzU2NS00M2Y1LTkwMWUtNTkxNWFiNjFkYmQ2XkEyXkFqcGc@._V1_SX300.jpg,
Somewhere Only We Know,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",7.0,253,,,Chinese,A student changes her hatred for a substitute teacher into hidden love that drives her through emotional ups and downs.,https://m.media-amazon.com/images/M/MV5BMWI1MDVlZGEtMzY2NS00NDA5LTllMWMtOWYwYTYyZThiMTMxXkEyXkFqcGc@._V1_SX300.jpg,
The Alcàsser Murders,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",7.0,"2,666",,,Spanish,True crime documentary examining one of the most controversial crimes in Spanish history.,https://m.media-amazon.com/images/M/MV5BMGZhOGE5YWYtYzUxNy00OGM5LWI3YTgtOWEwNjQ2YTgxNDYyXkEyXkFqcGc@._V1_SX300.jpg,
Unit 42,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",6.9,"2,814",,,French,"While having to raise his three children on his own, Inspector Sam Leroy joins Brussels' Cyber Crime Unit. Confronted with new codes, he must collaborate with Billie Vebber, a former hacker who covertly pursues objectives of her own.",https://m.media-amazon.com/images/M/MV5BZjdmNGQxMTUtZmU0YS00ZGM0LWI3MDYtYzBiNjAyNzMyZDZjXkEyXkFqcGc@._V1_SX300.jpg,
Awake: The Million Dollar Game,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",6.0,913,,,English,24 hours. Zero rest. 1 million dollars on the line. Awake: The Million Dollar Game.,https://m.media-amazon.com/images/M/MV5BMWU1ODUxMzctNTgzMS00MGU0LWFkNDUtZjNkMDhjNDYzZTk3XkEyXkFqcGc@._V1_SX300.jpg,
Black Spot,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,18,,,English,"Based on the hit short film Full Disclosure, The Black Spot follows an agent in the International Off-world Trade Federation as he uncovers some dark secrets. He is forced to go on the run with a space veteran and psychic teenage ...",https://m.media-amazon.com/images/M/MV5BMDhmZjBkYTYtY2JhZi00MDgxLWFmN2QtNzNjMjYzNTdiNzljXkEyXkFqcGdeQXVyNTgzNjgzNzQ@._V1_SX300.jpg,
DJ Cinderella,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",4.7,"1,385",,,Portuguese,"After her parents divorce, Cintia moves to her aunt Helena and begins to dream of becoming a DJ. When matters of the heart will stand between her and her objectives, Cintia's career will take an unexpected turn.",https://m.media-amazon.com/images/M/MV5BZDZiNzgzZTgtYzZlNi00MmZkLTkwM2MtNmZjNGNlZWVjNWRmXkEyXkFqcGc@._V1_SX300.jpg,
El desconocido,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,,,,Portuguese,"After her parents divorce, Cintia moves to her aunt Helena and begins to dream of becoming a DJ. When matters of the heart will stand between her and her objectives, Cintia's career will take an unexpected turn.",https://m.media-amazon.com/images/M/MV5BZDZiNzgzZTgtYzZlNi00MmZkLTkwM2MtNmZjNGNlZWVjNWRmXkEyXkFqcGc@._V1_SX300.jpg,
Girlfriends' Guide to Divorce,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",,,,,Portuguese,"After her parents divorce, Cintia moves to her aunt Helena and begins to dream of becoming a DJ. When matters of the heart will stand between her and her objectives, Cintia's career will take an unexpected turn.",https://m.media-amazon.com/images/M/MV5BZDZiNzgzZTgtYzZlNi00MmZkLTkwM2MtNmZjNGNlZWVjNWRmXkEyXkFqcGc@._V1_SX300.jpg,
Leila,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",5.1,"9,424",,,Hindi,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.",https://m.media-amazon.com/images/M/MV5BNDNlZTM0ZDYtYTk1NS00ZjQzLWI2N2UtYzU5NDc3MDFkZDBmXkEyXkFqcGc@._V1_SX300.jpg,
Marlon,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",7.2,5,,,Serbian,"When the moving of a young girl's neighbor disrupts her daily routine, she is caught up in a whirlpool of fantasy and longing.",https://m.media-amazon.com/images/M/MV5BNzU3MGY2ODAtYmQ4OC00NzgwLWIzZTktNjk4MDI5ZTYxMzI2XkEyXkFqcGdeQXVyNDcwMjAwMzE@._V1_SX300.jpg,
Marvel's Jessica Jones,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,,,,Serbian,"When the moving of a young girl's neighbor disrupts her daily routine, she is caught up in a whirlpool of fantasy and longing.",https://m.media-amazon.com/images/M/MV5BNzU3MGY2ODAtYmQ4OC00NzgwLWIzZTktNjk4MDI5ZTYxMzI2XkEyXkFqcGdeQXVyNDcwMjAwMzE@._V1_SX300.jpg,
Murder Mystery,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",6.1,"183,437",,38.0,"English, French, Latin, Spanish","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",https://m.media-amazon.com/images/M/MV5BMzg4NDFjNmYtZjQxMy00MDY4LWEyZjUtYzRjNjNkNjJiZTZhXkEyXkFqcGc@._V1_SX300.jpg,
Yankee,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",5.9,962,,,"English, Spanish","On the run from the police, an Arizona man crosses into Mexico and gets deeply involved in drug trafficking, with the help of modern technology.",https://m.media-amazon.com/images/M/MV5BNTU0YjVjNTQtOTljNS00Y2Y1LTk5MzYtMWExMWQ0YTdkNWU4XkEyXkFqcGc@._V1_SX300.jpg,
Jinn,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",3.5,"10,589",,,Arabic,An Arabic-language coming-of-age series with elements of the supernatural.,https://m.media-amazon.com/images/M/MV5BZjI0M2ZkYTYtMzZjNC00MmM2LTk2ZjItMzE1NGIwMDkzNjI2XkEyXkFqcGc@._V1_SX300.jpg,
Oprah Presents When They See Us Now,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",,,,,Arabic,An Arabic-language coming-of-age series with elements of the supernatural.,https://m.media-amazon.com/images/M/MV5BZjI0M2ZkYTYtMzZjNC00MmM2LTk2ZjItMzE1NGIwMDkzNjI2XkEyXkFqcGc@._V1_SX300.jpg,
The 3rd Eye 2,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",5.4,744,,,Indonesian,"Alia is now working and living at an orphanage, where she meets a girl who also possesses inner eyes like her.",https://m.media-amazon.com/images/M/MV5BMTZkYzc4NGUtYmE1Ni00ZGE0LTlkODktMTgyYWZjYTA0MDRkXkEyXkFqcGc@._V1_SX300.jpg,
Jo Koy: Comin' In Hot,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",7.4,"1,455",,,English,"Comedian Jo Koy takes center stage in Hawaii, and shares his candid take on cultural curiosities, filter free fatherhood, and more.",https://m.media-amazon.com/images/M/MV5BYjI0YWY2OTctNWY3YS00ZjUxLTkzY2EtZmVhMmYxY2I2ZmNjXkEyXkFqcGc@._V1_SX300.jpg,
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,,,,English,"Comedian Jo Koy takes center stage in Hawaii, and shares his candid take on cultural curiosities, filter free fatherhood, and more.",https://m.media-amazon.com/images/M/MV5BYjI0YWY2OTctNWY3YS00ZjUxLTkzY2EtZmVhMmYxY2I2ZmNjXkEyXkFqcGc@._V1_SX300.jpg,
Upin & Ipin,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,,,,English,"Comedian Jo Koy takes center stage in Hawaii, and shares his candid take on cultural curiosities, filter free fatherhood, and more.",https://m.media-amazon.com/images/M/MV5BYjI0YWY2OTctNWY3YS00ZjUxLTkzY2EtZmVhMmYxY2I2ZmNjXkEyXkFqcGc@._V1_SX300.jpg,
Belmonte,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}]",6.1,416,,,Spanish,"A portrait of fatherhood in crisis, and the strength of a child.",https://m.media-amazon.com/images/M/MV5BNjdlZmFjODEtM2E0NC00MGI4LWIwN2YtYWQ1MTIyODU2ZGE1XkEyXkFqcGc@._V1_SX300.jpg,
Designated Survivor,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",8.1,"1,875",,,Korean,"When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu Jin must find a way to lead Korea through the ensuing chaos.",https://m.media-amazon.com/images/M/MV5BYWM3YWMxNzgtZWU4Yi00MDI3LTk5N2QtNmYxYmM0Mjg0NjJmXkEyXkFqcGc@._V1_SX300.jpg,
Elisa & Marcela,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Metacritic', 'Value': '33/100'}]",6.6,"6,067",,33.0,"Spanish, Portuguese","In 1901, Elisa Sanchez Loriga took on the identity of Mario Sánchez to marry her lover of fifteen years, Marcela Gracia Ibeas.",https://m.media-amazon.com/images/M/MV5BZWQ2ZWIzNmEtNTI1Ni00NTlmLWEwMGEtMzNjMzc5NzlkZmQwXkEyXkFqcGc@._V1_SX300.jpg,
I Am Mother,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",6.7,"103,760",,64.0,English,"In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",https://m.media-amazon.com/images/M/MV5BMTkxMTczNTA4Nl5BMl5BanBnXkFtZTgwNDAyMzgwODM@._V1_SX300.jpg,
Luka Chuppi,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",6.4,"13,744",,,Hindi,"Pretending to be married in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",https://m.media-amazon.com/images/M/MV5BYWEyY2NkYmMtMGQ4Ni00ZTgzLThhNDMtNmI3ZTI5MDJiY2EyXkEyXkFqcGc@._V1_SX300.jpg,
Pachamama,[],,,,,,,,
Rock My Heart,[],,,,,,,,
Stree,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",7.5,"43,429",,,Hindi,"In the small town of Chanderi, the menfolk live in fear of an evil spirit named ""Stree"" who abducts men in the night. Based on the urban legend of ""Nale Ba"" that went viral in Karnataka in the 1990s.",https://m.media-amazon.com/images/M/MV5BODhiZjI1MDMtZjFjOS00NjZiLWI5N2YtZTM2NWIxNmE3MjMzXkEyXkFqcGc@._V1_SX300.jpg,
Super Monsters Monster Pets,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",6.1,52,,,English,Super Monsters Monster Pets,https://m.media-amazon.com/images/M/MV5BMTZlNjNkZTYtY2E2Ni00MzU2LThhYjUtMDRjMzcwNzhiMWU1XkEyXkFqcGc@._V1_SX300.jpg,
Tales of the City,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",7.4,"9,301",,,English,"A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrig...",https://m.media-amazon.com/images/M/MV5BZDZmMGI2ODUtNmNmYS00M2IyLTgxYWYtOTU1NWFkNGNmNmVkXkEyXkFqcGc@._V1_SX300.jpg,
The Black Godfather,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",7.5,"1,591",,69.0,English,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",https://m.media-amazon.com/images/M/MV5BNzdhOWNkMzEtYjRmYS00ZjdjLWE3MDctMzNjMmRmOGVkODJmXkEyXkFqcGc@._V1_SX300.jpg,
Alles ist gut,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",,,,69.0,English,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",https://m.media-amazon.com/images/M/MV5BNzdhOWNkMzEtYjRmYS00ZjdjLWE3MDctMzNjMmRmOGVkODJmXkEyXkFqcGc@._V1_SX300.jpg,
A Silent Voice,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Metacritic', 'Value': '78/100'}]",8.1,"122,060",,78.0,"Japanese, Japanese Sign , English","A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to mak...",https://m.media-amazon.com/images/M/MV5BOTFiNzRiOWEtYTQwNy00NmRiLWE0ZWYtNTE0YjExZjFmZjkwXkEyXkFqcGc@._V1_SX300.jpg,
Black Mirror,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",6.2,35,,,English,"The Directorial debut of Kingsley Egei as he creates a dark, humble, and aggressive music video to the song Black Mirror By SXTWLVE.",https://m.media-amazon.com/images/M/MV5BZGIzZDgyYWItMDA3My00OWQ1LThhOGYtYzI3NTIzNjE5OTZiXkEyXkFqcGc@._V1_SX300.jpg,
Cosmos Laundromat: First Cycle,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,,,,English,"The Directorial debut of Kingsley Egei as he creates a dark, humble, and aggressive music video to the song Black Mirror By SXTWLVE.",https://m.media-amazon.com/images/M/MV5BZGIzZDgyYWItMDA3My00OWQ1LThhOGYtYzI3NTIzNjE5OTZiXkEyXkFqcGc@._V1_SX300.jpg,
Miranda Sings Live…Your Welcome,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",5.4,478,,,English,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry.""",https://m.media-amazon.com/images/M/MV5BNzcyYjhhNWMtZTA4NS00MDMwLWE4ODMtMGNhZjIwYTI2ODJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,
Silent,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",6.3,563,,,,"Two street performers dream of bringing their 'Picture and Sound Show'to life. When they discover a magical contraption inside an old theatre, they embark on a cinematic adventure of sight and sound, traveling through movie histor...",https://m.media-amazon.com/images/M/MV5BMjQxNDE3MTk4NV5BMl5BanBnXkFtZTgwMzQzOTczMTE@._V1_SX300.jpg,
Documentary Now!,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,,,,,"Two street performers dream of bringing their 'Picture and Sound Show'to life. When they discover a magical contraption inside an old theatre, they embark on a cinematic adventure of sight and sound, traveling through movie histor...",https://m.media-amazon.com/images/M/MV5BMjQxNDE3MTk4NV5BMl5BanBnXkFtZTgwMzQzOTczMTE@._V1_SX300.jpg,
Malibu Rescue: The Series,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,,,,,"Two street performers dream of bringing their 'Picture and Sound Show'to life. When they discover a magical contraption inside an old theatre, they embark on a cinematic adventure of sight and sound, traveling through movie histor...",https://m.media-amazon.com/images/M/MV5BMjQxNDE3MTk4NV5BMl5BanBnXkFtZTgwMzQzOTczMTE@._V1_SX300.jpg,
Arthdal Chronicles,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",8.3,"6,309",,,Korean,"""Arthdal Chronicles"" depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes--their struggle, unity, and love of people living in a virtual land called Arth.",https://m.media-amazon.com/images/M/MV5BZDM4OWY2NDgtOGUxZC00YjMzLWI0ZWYtMDU5NDY4NDgwMmY5XkEyXkFqcGc@._V1_SX300.jpg,
Krutant,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",6.4,111,,,Marathi,"When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life.",https://m.media-amazon.com/images/M/MV5BNjA4ZDRiMGEtY2Q5OS00MGEwLThhMTgtOWMzZDBkYjhlNzQzXkEyXkFqcGdeQXVyMTE0MTM3MzU@._V1_SX300.jpg,
A Thousand Goodnights,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",7.0,117,,,"Mandarin, Min Nan, English","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",https://m.media-amazon.com/images/M/MV5BNTRkZjY2NzMtMWNmYS00MmE5LThhNGYtYTNkZDQ2OWJkZTdiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,
III Smoking Barrels,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",6.4,132,,,"English, Hindi, Bengali, Assamese, Manipuri","An anthology of three stories; each exploring a different stage in life - A CHILD involved in armed conflicts, a BOY in drug peddling and a MAN entangled in elephant poaching.",https://m.media-amazon.com/images/M/MV5BZTM1MGI0YjAtNWY1ZS00NzVhLThiMzYtMGIyMGI0ZDI2ZDFjXkEyXkFqcGdeQXVyMTkyMTc4MTM@._V1_SX300.jpg,
March Comes in Like a Lion,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",6.6,389,,,Japanese,"17-year-old Kiriyama Rei is a promising professional shogi player. His family died in an accident when he was young, and he was adopted by his father's friend Koda, a professional shogi player, and started to be trained to play sh...",https://m.media-amazon.com/images/M/MV5BNTQxOGJlOGItMDY4ZC00YWQ2LTlmZjMtNmI4MTA2NzJiOTRkXkEyXkFqcGc@._V1_SX300.jpg,
"Oh, Ramona!","[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",4.8,"9,785",,,English,A teenager named Andrei transitions from a teenager into an adult.,https://m.media-amazon.com/images/M/MV5BMzE3MTM3OWItOGVjYi00OTRhLWIxN2EtOWI5NTViOTkxOWE1XkEyXkFqcGc@._V1_SX300.jpg,
We Are Legends,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",5.2,223,,,Cantonese,"My brother ""Investing"" and his younger brother ""Electric Rabbit"" grew up in an orphanage. They were adopted by the school worker ""Thunder Sir"" and received the help of ""Lei Master"" and stayed in the village boxing gym. The intensi...",https://m.media-amazon.com/images/M/MV5BMWQyOTVlODUtYjRmMC00MTQzLTg1MGYtZWFkZDg0NzllZGNiXkEyXkFqcGc@._V1_SX300.jpg,
Bad Blood,[],,,,,English,,,
